002  00448 |Loss: 1.944 | Train_acc: 27.590% 
002  00449 |Loss: 1.944 | Train_acc: 27.559% 
002  00450 |Loss: 1.944 | Train_acc: 27.556% 
002  00451 |Loss: 1.945 | Train_acc: 27.656% 
002  00452 |Loss: 1.943 | Train_acc: 27.715% 
002  00453 |Loss: 1.945 | Train_acc: 27.697% 
002  00454 |Loss: 1.943 | Train_acc: 27.741% 
002  00455 |Loss: 1.944 | Train_acc: 27.795% 
002  00456 |Loss: 1.944 | Train_acc: 27.837% 
002  00457 |Loss: 1.944 | Train_acc: 27.912% 
002  00458 |Loss: 1.943 | Train_acc: 27.927% 
002  00459 |Loss: 1.944 | Train_acc: 27.941% 
002  00460 |Loss: 1.944 | Train_acc: 27.944% 
002  00461 |Loss: 1.944 | Train_acc: 27.857% 
002  00462 |Loss: 1.944 | Train_acc: 27.784% 
002  00463 |Loss: 1.946 | Train_acc: 27.756% 
002  00464 |Loss: 1.946 | Train_acc: 27.783% 
002  00465 |Loss: 1.947 | Train_acc: 27.745% 
002  00466 |Loss: 1.946 | Train_acc: 27.760% 
002  00467 |Loss: 1.946 | Train_acc: 27.775% 
002  00468 |Loss: 1.947 | Train_acc: 27.709% 
002  00469 |Loss: 1.947 | Train_acc: 27.734% 
002  00470 |Loss: 1.948 | Train_acc: 27.680% 
002  00471 |Loss: 1.949 | Train_acc: 27.686% 
002  00472 |Loss: 1.949 | Train_acc: 27.710% 
002  00473 |Loss: 1.948 | Train_acc: 27.753% 
002  00474 |Loss: 1.949 | Train_acc: 27.683% 
002  00475 |Loss: 1.948 | Train_acc: 27.799% 
002  00476 |Loss: 1.948 | Train_acc: 27.776% 
002  00477 |Loss: 1.948 | Train_acc: 27.771% 
002  00478 |Loss: 1.948 | Train_acc: 27.820% 
002  00479 |Loss: 1.947 | Train_acc: 27.939% 
002  00480 |Loss: 1.947 | Train_acc: 27.932% 
002  00481 |Loss: 1.946 | Train_acc: 27.951% 
002  00482 |Loss: 1.944 | Train_acc: 28.022% 
